Designator,Mid X,Mid Y,Layer,Rotation
C1,55.02,108.05,T,0.00
C2,47.60,95.78,T,90.00
C3,66.60,116.20,T,0.00
C4,67.90,95.20,T,270.00
C5,58.85,95.20,T,270.00
C6,61.85,95.20,T,270.00
C7,64.85,95.20,T,270.00
C8,66.62,114.70,T,0.00
C9,97.60,99.53,B,270.00
C11,55.00,106.55,T,180.00
C12,39.90,98.90,T,0.00
C13,39.90,110.40,T,0.00
C15,45.33,96.50,T,0.00
C16,51.70,110.75,T,90.00
C17,39.90,108.90,T,180.00
C18,61.00,105.00,T,180.00
C19,59.90,110.60,T,270.00
C20,61.70,100.40,T,0.00
C21,56.90,110.60,T,270.00
C22,61.70,103.40,T,0.00
C23,62.30,97.75,T,0.00
C24,32.20,94.80,T,0.00
C26,55.90,99.80,T,180.00
C27,69.20,115.53,T,270.00
C28,75.40,109.80,T,90.00
C29,75.40,105.20,T,90.00
C30,75.40,101.40,T,90.00
C32,38.30,100.50,T,180.00
C33,46.90,105.40,B,180.00
C34,93.40,94.70,T,0.00
C36,93.40,91.70,T,0.00
C37,83.10,118.70,T,0.00
C38,45.33,95.00,T,0.00
C39,87.80,118.70,T,180.00
C40,81.20,93.90,T,180.00
C41,55.92,98.10,T,0.00
C42,48.98,91.10,T,180.00
C43,97.10,118.70,T,0.00
C44,97.60,104.20,B,90.00
C45,34.90,91.10,T,0.00
C46,66.60,118.40,T,180.00
C47,93.60,116.00,T,90.00
C48,37.20,112.30,T,0.00
C49,77.00,99.50,B,180.00
C50,97.60,94.88,B,90.00
C51,92.50,118.70,T,180.00
C52,61.70,101.90,T,0.00
C53,68.60,112.80,T,180.00
C54,97.60,109.00,B,270.00
C55,81.80,93.70,B,270.00
C56,79.50,93.70,B,270.00
C57,89.70,95.40,B,0.00
C58,76.40,106.40,B,180.00
C59,89.70,106.40,B,0.00
C60,43.92,91.10,T,0.00
C61,32.80,112.20,T,180.00
C62,75.08,112.20,T,180.00
C501,52.10,95.80,T,90.00
C502,50.60,95.80,T,90.00
C503,49.10,95.80,T,90.00
D1,61.39,101.80,B,180.00
D2,61.40,103.40,B,180.00
D3,61.40,99.80,B,180.00
D4,54.90,116.40,T,270.00
D5,51.40,116.40,T,90.00
D7,87.10,93.90,T,0.00
J1,103.00,110.16,B,270.00
J2,91.02,115.90,B,0.00
J3,80.46,115.90,B,0.00
J401,44.30,115.80,T,180.00
L1,60.90,116.00,T,180.00
P1,68.06,92.80,B,90.00
P2,35.60,110.58,B,180.00
P11,45.50,92.80,B,90.00
P12,51.70,92.80,B,90.00
P13,31.75,92.80,B,270.00
P14,32.00,110.58,B,180.00
Q1,82.91,110.86,T,90.00
Q2,91.00,110.86,T,90.00
Q3,82.91,104.91,T,90.00
Q4,91.00,104.91,T,90.00
Q5,82.91,98.91,T,90.00
Q6,91.00,98.91,T,90.00
R1,78.50,98.30,T,270.00
R2,68.30,91.00,T,180.00
R3,79.20,118.70,T,180.00
R4,78.00,116.20,T,90.00
R6,66.40,95.20,T,90.00
R7,64.83,91.03,T,180.00
R8,63.35,95.20,T,90.00
R9,60.35,95.20,T,90.00
R10,57.35,95.20,T,90.00
R11,55.90,91.03,T,180.00
R12,58.88,91.03,T,180.00
R13,61.85,91.03,T,180.00
R14,52.00,91.10,T,0.00
R15,31.90,91.10,T,180.00
R16,40.88,91.10,T,180.00
R17,61.40,110.60,T,270.00
R18,61.00,108.20,T,180.00
R19,58.40,110.60,T,270.00
R20,58.00,108.20,T,180.00
R21,62.90,110.60,T,90.00
R22,58.40,99.80,B,180.00
R23,102.40,97.70,T,0.00
R24,105.40,97.70,T,180.00
R26,102.40,102.60,T,0.00
R27,105.40,102.60,T,180.00
R28,78.40,109.80,T,270.00
R29,76.90,109.80,T,270.00
R30,95.40,112.22,T,90.00
R31,37.88,91.10,T,180.00
R32,102.40,107.70,T,0.00
R33,105.40,107.70,T,180.00
R34,78.40,105.20,T,270.00
R35,76.90,105.20,T,270.00
R36,95.40,106.30,T,270.00
R37,58.42,101.80,B,180.00
R38,58.42,103.40,B,180.00
R39,38.10,104.10,T,0.00
R40,38.10,105.60,T,0.00
R41,38.10,107.10,T,0.00
R42,78.40,101.40,T,270.00
R43,76.90,101.40,T,270.00
R44,61.00,106.60,T,0.00
R46,95.40,100.28,T,90.00
R48,96.60,96.20,T,180.00
R49,96.60,94.70,T,180.00
R50,96.60,93.20,T,180.00
R51,96.60,91.70,T,180.00
R53,98.10,109.00,T,270.00
R54,98.10,101.10,T,90.00
R401,49.40,111.50,T,180.00
R402,42.90,111.50,T,180.00
R403,38.18,118.33,T,270.00
R404,38.18,115.30,T,270.00
R405,38.30,102.30,T,180.00
U1,46.80,104.00,T,0.00
U3,68.70,104.34,T,270.00
U4,56.10,102.20,T,0.00
U5,62.53,110.78,B,180.00
U6,54.20,110.85,T,270.00
Y1,39.50,95.80,T,180.00
